species,island,body_mass_g,big_size,species_simple
Adelie Penguin (Pygoscelis adeliae),Biscoe,3400,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3600,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3200,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3150,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3250,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3300,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3325,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4150,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3300,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4650,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3150,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3100,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4400,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3000,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4600,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3425,FALSE,adelie
